scenario,numAttackers,rngRun,meanInterval,meanSinr,eclipseCount,occupancyRate,timeS0,timeS2,timeS3,timeS4
filaire,2,1,0,10,0,0.25,60,0,0,0
filaire,2,2,0,10,0,0.25,60,0,0,0
filaire,2,3,0,10,0,0.25,60,0,0,0
filaire,2,4,0,10,0,0.25,60,0,0,0
filaire,2,5,0,10,0,0.25,60,0,0,0
filaire,4,1,0,10,0,0.5,60,0,0,0
filaire,4,2,0,10,0,0.5,60,0,0,0
filaire,4,3,0,10,0,0.5,60,0,0,0
filaire,4,4,0,10,0,0.5,60,0,0,0
filaire,4,5,0,10,0,0.5,60,0,0,0
filaire,6,1,0,10,0,0.75,60,0,0,0
filaire,6,2,0,10,0,0.75,60,0,0,0
filaire,6,3,0,10,0,0.75,60,0,0,0
filaire,6,4,0,10,0,0.75,60,0,0,0
filaire,6,5,0,10,0,0.75,60,0,0,0
filaire,8,1,0,10,1,1,0,0,0,60
filaire,8,2,0,10,1,1,0,0,0,60
filaire,8,3,0,10,1,1,0,0,0,60
filaire,8,4,0,10,1,1,0,0,0,60
filaire,8,5,0,10,1,1,0,0,0,60
4g_modere,2,1,15,8,0,0.25,60,0,0,0
4g_modere,2,2,15,8,0,0.25,60,0,0,0
4g_modere,2,3,15,8,0,0.25,37.843,21.157,1,0
4g_modere,2,4,15,8,0,0.25,60,0,0,0
4g_modere,2,5,15,8,0,0.25,60,0,0,0
4g_modere,4,1,15,8,0,0.5,60,0,0,0
4g_modere,4,2,15,8,0,0.5,48.6099,10.3901,1,0
4g_modere,4,3,15,8,0,0.5,60,0,0,0
4g_modere,4,4,15,8,0,0.5,60,0,0,0
4g_modere,4,5,15,8,0,0.5,22.0023,36.9977,1,0
4g_modere,6,1,15,8,0,0.75,60,0,0,0
4g_modere,6,2,15,8,0,0.75,60,0,0,0
4g_modere,6,3,15,8,0,0.75,60,0,0,0
4g_modere,6,4,15,8,0,0.75,49.7984,9.20162,1,0
4g_modere,6,5,15,8,0,0.75,60,0,0,0
4g_modere,8,1,15,8,1,1,0,0,0,60
4g_modere,8,2,15,8,1,1,0,0,0,60
4g_modere,8,3,15,8,1,1,0,0,0,60
4g_modere,8,4,15,8,1,1,0,0,0,60
4g_modere,8,5,15,8,1,1,0,0,0,60
4g_eleve,2,1,5,6,0,0.25,26.8115,31.1885,2,0
4g_eleve,2,2,5,6,0,0.25,45.9906,12.0094,2,0
4g_eleve,2,3,5,6,0,0.25,38.7813,18.2187,3,0
4g_eleve,2,4,5,6,0,0.25,26.7216,31.2784,2,0
4g_eleve,2,5,5,6,0,0.25,34.6111,24.3889,1,0
4g_eleve,4,1,5,6,0,0.5,34.2645,23.7355,2,0
4g_eleve,4,2,5,6,0,0.5,40.7042,16.6901,2.60567,0
4g_eleve,4,3,5,6,0,0.5,43.3561,13.6439,3,0
4g_eleve,4,4,5,6,0,0.5,51.3039,6.69606,2,0
4g_eleve,4,5,5,6,0,0.5,35.3842,21.6158,3,0
4g_eleve,6,1,5,6,0,0.75,44.3378,12.6622,3,0
4g_eleve,6,2,5,6,0,0.75,49.3305,9.66949,1,0
4g_eleve,6,3,5,6,0,0.75,27.2504,30.7496,2,0
4g_eleve,6,4,5,6,0,0.75,31.5895,24.4105,4,0
4g_eleve,6,5,5,6,0,0.75,37.6163,18.0709,4.31282,0
4g_eleve,8,1,5,6,1,1,0,0,0,60
4g_eleve,8,2,5,6,1,1,0,0,0,60
4g_eleve,8,3,5,6,1,1,0,0,0,60
4g_eleve,8,4,5,6,1,1,0,0,0,60
4g_eleve,8,5,5,6,1,1,0,0,0,60
4g_degrade,2,1,3,2,0,0.25,13.5991,43.4009,3,0
4g_degrade,2,2,3,2,0,0.25,35.1363,20.8637,4,0
4g_degrade,2,3,3,2,0,0.25,21.9069,33.0931,5,0
4g_degrade,2,4,3,2,0,0.25,18.1778,37.8222,4,0
4g_degrade,2,5,3,2,0,0.25,21.2393,37.7607,1,0
4g_degrade,4,1,3,2,0,0.5,28.2881,29.7119,2,0
4g_degrade,4,2,3,2,0,0.5,11.1702,45.6845,3.14525,0
4g_degrade,4,3,3,2,0,0.5,22.3171,33.6829,4,0
4g_degrade,4,4,3,2,0,0.5,17.3658,38.6342,4,0
4g_degrade,4,5,3,2,0,0.5,5.30078,51.7619,2.93737,0
4g_degrade,6,1,3,2,0,0.75,28.2113,27.7887,4,0
4g_degrade,6,2,3,2,0,0.75,32.0349,23.9651,4,0
4g_degrade,6,3,3,2,0,0.75,15.7745,41.2255,3,0
4g_degrade,6,4,3,2,0,0.75,16.3779,38.6221,5,0
4g_degrade,6,5,3,2,0,0.75,26.8606,29.8561,3.28324,0
4g_degrade,8,1,3,2,1,1,0,0,0,60
4g_degrade,8,2,3,2,1,1,0,0,0,60
4g_degrade,8,3,3,2,1,1,0,0,0,60
4g_degrade,8,4,3,2,1,1,0,0,0,60
4g_degrade,8,5,3,2,1,1,0,0,0,60
